student_id,name,branch_id,login,password,email,user_id,status
nesimi-campusu-student-1a1-abbasova-aylin-ayaz,Abbasova Aylin Ayaz,ef0b6b5b-c54f-458a-819e-f15fbcb82096,abbay0,abbay0,abbay0@vote.local,7d7ee865-cce4-4549-a22e-8edf50016e6b,skipped-existing
nesimi-campusu-student-1a1-agayev-amin-samil,Ağayev Amin Samil,ef0b6b5b-c54f-458a-819e-f15fbcb82096,agasa0,agasa0,agasa0@vote.local,cc9e83d2-6266-437f-88b4-033190d289a8,skipped-existing
nesimi-campusu-student-1a1-babayeva-selcan-elvin,Babayeva Selcan Elvin,ef0b6b5b-c54f-458a-819e-f15fbcb82096,babel1,babel1,babel1@vote.local,a7f092f7-8222-466c-aa0a-2d5122b65d0e,skipped-existing
nesimi-campusu-student-1a1-bagirzade-huseyn-fuad,Bağırzadə Hüseyn Fuad,ef0b6b5b-c54f-458a-819e-f15fbcb82096,bagfu0,bagfu0,bagfu0@vote.local,dd4a5470-75f9-452f-b767-77ce3174c8f4,skipped-existing
nesimi-campusu-student-1a1-bayramzade-davud-ramin,Bayramzadə Davud Ramin,ef0b6b5b-c54f-458a-819e-f15fbcb82096,bayra0,bayra0,bayra0@vote.local,8f453bbb-06c5-4ef3-b9e3-a7ceebb462b5,skipped-existing
nesimi-campusu-student-1a1-gulmemmedov-murad-ayxan,Gülməmmədov Murad Ayxan,ef0b6b5b-c54f-458a-819e-f15fbcb82096,gulay0,gulay0,gulay0@vote.local,d2c8863c-f1a2-480c-b905-9a1b24b9dbf9,skipped-existing
nesimi-campusu-student-1a1-isayeva-selin-rasif,İsayeva Selin Rasif,ef0b6b5b-c54f-458a-819e-f15fbcb82096,isara0,isara0,isara0@vote.local,63f72941-309e-4cc0-a353-76aece99eaa5,skipped-existing
nesimi-campusu-student-1a1-kazimli-kenan-xalid,Kazımlı Kənan Xalid,ef0b6b5b-c54f-458a-819e-f15fbcb82096,kazxa0,kazxa0,kazxa0@vote.local,72adce05-8260-4529-94dc-9e886609dcd1,skipped-existing
nesimi-campusu-student-1a1-mehdizade-yagmur-ilyas,Mehdizadə Yağmur İlyas,ef0b6b5b-c54f-458a-819e-f15fbcb82096,mehil1,mehil1,mehil1@vote.local,7b4e742e-330d-44b4-acb8-7e08212ae4cc,skipped-existing
nesimi-campusu-student-1a1-memmedli-ugur-vusal,Məmmədli Uğur Vüsal,ef0b6b5b-c54f-458a-819e-f15fbcb82096,memvu1,memvu1,memvu1@vote.local,27fe3fad-321c-42d1-8068-29e4eb1a5f50,skipped-existing
nesimi-campusu-student-1a1-memmedova-yegane-mecid,Məmmədova Yeganə Məcid,ef0b6b5b-c54f-458a-819e-f15fbcb82096,memme1,memme1,memme1@vote.local,78e52635-ef7a-4e5d-b3fb-f994e198f4e4,skipped-existing
nesimi-campusu-student-1a1-qasimova-elay-ramin,Qasımova Elay Ramin,ef0b6b5b-c54f-458a-819e-f15fbcb82096,qasra0,qasra0,qasra0@vote.local,f2bc6c96-a5a5-4450-bd67-e976489bafdf,skipped-existing
nesimi-campusu-student-1a1-talibli-elmir-elnur,Talıblı Elmir Elnur,ef0b6b5b-c54f-458a-819e-f15fbcb82096,talel0,talel0,talel0@vote.local,efde0ae2-5219-48a2-bf7d-5defdfb88e2f,skipped-existing
nesimi-campusu-student-1a1-zerbeliyeva-esma-asim,Zərbəliyeva Əsma Asim,ef0b6b5b-c54f-458a-819e-f15fbcb82096,zeras0,zeras0,zeras0@vote.local,02ab2c30-0144-4f10-916c-310e2c4f873d,skipped-existing
nesimi-campusu-student-1e1-agayev-cavad-vuqar,Ağayev Cavad Vüqar,ef0b6b5b-c54f-458a-819e-f15fbcb82096,agavu0,agavu0,agavu0@vote.local,da70f407-28b7-47c8-9517-9213f4d7e267,skipped-existing
nesimi-campusu-student-1e1-bayramli-ayan-cavid,Bayramlı Ayan Cavid,ef0b6b5b-c54f-458a-819e-f15fbcb82096,bayca0,bayca0,bayca0@vote.local,bc8b57c7-d454-446f-97a6-d99eb97db39c,skipped-existing
nesimi-campusu-student-1e1-eliyev-fexreddin-mehman,Əliyev Fəxrəddin Mehman,ef0b6b5b-c54f-458a-819e-f15fbcb82096,elime1,elime1,elime1@vote.local,79ac5f52-d4e2-4e52-bb69-a5bb1814c073,skipped-existing
nesimi-campusu-student-1e1-hesenov-mikayil-ferid,Həsənov Mikayıl Fərid,ef0b6b5b-c54f-458a-819e-f15fbcb82096,hesfe0,hesfe0,hesfe0@vote.local,0790e416-943f-4e6f-8a9f-ae229f88d541,skipped-existing
nesimi-campusu-student-1e1-hesenzade-gunes-ferman,Həsənzadə Günəş Fərman,ef0b6b5b-c54f-458a-819e-f15fbcb82096,hesfe1,hesfe1,hesfe1@vote.local,5c9401b8-9be3-4196-b045-49998b9557dc,skipped-existing
nesimi-campusu-student-1e1-ibrahimov-yunis-faiq,İbrahimov Yunis Faiq,ef0b6b5b-c54f-458a-819e-f15fbcb82096,ibrfa0,ibrfa0,ibrfa0@vote.local,e9ba4fd6-67c8-4fb6-be63-2a73bc8776c0,skipped-existing
nesimi-campusu-student-1e1-musazade-miray-namiq,Musazadə Miray Namiq,ef0b6b5b-c54f-458a-819e-f15fbcb82096,musna0,musna0,musna0@vote.local,ff700d30-193b-4898-b453-f6d201d8cdcd,skipped-existing
nesimi-campusu-student-1e1-qasimli-zerife-veli,Qasımlı Zərifə Vəli,ef0b6b5b-c54f-458a-819e-f15fbcb82096,qasve0,qasve0,qasve0@vote.local,f82942d4-fc70-4a3f-86e2-495d9b956efc,skipped-existing
nesimi-campusu-student-1e1-sadiqov-oder-samil,Sadıqov Odər Şamil,ef0b6b5b-c54f-458a-819e-f15fbcb82096,sadsa0,sadsa0,sadsa0@vote.local,dbc53e48-60be-43f3-b793-a2012d4f0a57,skipped-existing
nesimi-campusu-student-1e1-salahova-melisa-fuad,Salahova Melisa Fuad,ef0b6b5b-c54f-458a-819e-f15fbcb82096,salfu0,salfu0,salfu0@vote.local,3646eb27-85b9-42ed-ba20-87c9d21f6037,skipped-existing
nesimi-campusu-student-1e1-salmanov-mehemmed-cingiz,Salmanov Məhəmməd Çingiz,ef0b6b5b-c54f-458a-819e-f15fbcb82096,salci0,salci0,salci0@vote.local,ebfca01c-9ec7-4400-8d83-b23d2cf39af2,skipped-existing
nesimi-campusu-student-1e1-salmanzade-fateh-tehran,Salmanzadə Fateh Tehran,ef0b6b5b-c54f-458a-819e-f15fbcb82096,salte0,salte0,salte0@vote.local,51e94296-4b71-438e-8e88-fbb1e8c2dc75,skipped-existing
nesimi-campusu-student-1e1-seferli-selin-seymur,Səfərli Selin Seymur,ef0b6b5b-c54f-458a-819e-f15fbcb82096,sefse0,sefse0,sefse0@vote.local,2c83a1a4-51ce-48f6-8304-e29838aeaaed,skipped-existing
nesimi-campusu-student-1e1-usta-omer-kerem-mehmet-tahir,Usta Ömer Kerem Mehmet Tahir,ef0b6b5b-c54f-458a-819e-f15fbcb82096,ustta0,ustta0,ustta0@vote.local,4d106bce-01fd-4b03-8749-9396f8da5ddd,skipped-existing
nesimi-campusu-student-1e2-abasbeyli-alisuad-elihuseyn,Abasbəyli Alisuad Əlihüseyn,ef0b6b5b-c54f-458a-819e-f15fbcb82096,abael0,abael0,abael0@vote.local,2f7b332b-e860-4d1d-a66b-759b1a302ec4,skipped-existing
nesimi-campusu-student-1e2-eliyeva-nur-ramin,Əliyeva Nur Ramin,ef0b6b5b-c54f-458a-819e-f15fbcb82096,elira0,elira0,elira0@vote.local,710a3654-eac4-4c86-81aa-258e209d8ef0,skipped-existing
nesimi-campusu-student-1e2-ezizli-fatime-ilham,Əzizli Fatimə İlham,ef0b6b5b-c54f-458a-819e-f15fbcb82096,eziil2,eziil2,eziil2@vote.local,cb747029-44e3-4342-8038-91ed5828fdcb,skipped-existing
nesimi-campusu-student-1e2-haciyev-david-emil,Hacıyev David Emil,ef0b6b5b-c54f-458a-819e-f15fbcb82096,hacem0,hacem0,hacem0@vote.local,4a637982-d3f9-4bed-9ba3-00cf28c4d78b,skipped-existing
nesimi-campusu-student-1e2-huseyn-cavid-nizami,Hüseyn Cavid Nizami,ef0b6b5b-c54f-458a-819e-f15fbcb82096,husni0,husni0,husni0@vote.local,b7a32240-1c9e-4c7e-86d0-af306faa7165,skipped-existing
nesimi-campusu-student-1e2-huseynzade-cavad-tural,Hüseynzadə Cavad Tural,ef0b6b5b-c54f-458a-819e-f15fbcb82096,hustu0,hustu0,hustu0@vote.local,3fe1f23f-202e-4b58-9248-7acc9939762f,skipped-existing
nesimi-campusu-student-1e2-ismayilzade-sofiya-ferrux,İsmayılzadə Sofiya Fərrux,ef0b6b5b-c54f-458a-819e-f15fbcb82096,ismfe0,ismfe0,ismfe0@vote.local,85deb548-e9ba-4403-951a-672f3e0eeb30,skipped-existing
nesimi-campusu-student-1e2-kazimli-besir-anar,Kazımlı Bəşir Anar,ef0b6b5b-c54f-458a-819e-f15fbcb82096,kazan0,kazan0,kazan0@vote.local,2af8f221-4145-4076-b393-a1b07dac5d33,skipped-existing
nesimi-campusu-student-1e2-memmedov-huseyn-elmir,Məmmədov Hüseyn Elmir,ef0b6b5b-c54f-458a-819e-f15fbcb82096,memel0,memel0,memel0@vote.local,24314169-fec5-465a-8c72-8fad7380906b,skipped-existing
nesimi-campusu-student-1e2-mirzeyeva-ilayda-rustem,Mirzəyeva İlayda Rüstəm,ef0b6b5b-c54f-458a-819e-f15fbcb82096,mirru0,mirru0,mirru0@vote.local,8309de34-ba30-45ee-bb89-d84507fdb8f2,skipped-existing
nesimi-campusu-student-1e2-necefov-said-samrat,Nəcəfov Said Samrat,ef0b6b5b-c54f-458a-819e-f15fbcb82096,necsa0,necsa0,necsa0@vote.local,72db1937-036c-4894-89fb-e3a5800a8793,skipped-existing
nesimi-campusu-student-1e2-quliyeva-adel-kamran,Quliyeva Adel Kamran,ef0b6b5b-c54f-458a-819e-f15fbcb82096,qulka0,qulka0,qulka0@vote.local,32c9df2e-9016-4f07-a639-9d1df97700d3,skipped-existing
nesimi-campusu-student-1e2-sahkerimli-sevda-turqut,Şahkərimli Sevda Turqut,ef0b6b5b-c54f-458a-819e-f15fbcb82096,sahtu0,sahtu0,sahtu0@vote.local,fa716793-3f93-4bdd-a1b9-cb3f9cac41c8,skipped-existing
nesimi-campusu-student-1e2-semedova-leyla-perviz,Səmədova Leyla Pərviz,ef0b6b5b-c54f-458a-819e-f15fbcb82096,sempe0,sempe0,sempe0@vote.local,4b0e8850-c7de-4c06-bf61-47a327295203,skipped-existing
nesimi-campusu-student-1e3-abbaszade-leyla-tural,Abbaszadə Leyla Tural,ef0b6b5b-c54f-458a-819e-f15fbcb82096,abbtu0,abbtu0,abbtu0@vote.local,1d9640e3-249a-4067-8f56-7a8e69a64da9,skipped-existing
nesimi-campusu-student-1e3-abdullayev-ugur-ekber,Abdullayev Uğur Əkbər,ef0b6b5b-c54f-458a-819e-f15fbcb82096,abdek0,abdek0,abdek0@vote.local,c8d2e5c5-23f9-46ac-be54-c159a7e1ab3c,skipped-existing
nesimi-campusu-student-1e3-ahmed-malika-asil,Ahmed Malika Asıl,ef0b6b5b-c54f-458a-819e-f15fbcb82096,ahmas0,ahmas0,ahmas0@vote.local,f97ff60d-105e-432e-bbce-26d963c85ebd,skipped-existing
nesimi-campusu-student-1e3-ceferli-harun-murad,Cəfərli Harun Murad,ef0b6b5b-c54f-458a-819e-f15fbcb82096,cefmu1,cefmu1,cefmu1@vote.local,bce2bf2c-dc9c-4e32-9c1c-4fe4555cf837,skipped-existing
nesimi-campusu-student-1e3-efendiyev-faiq-ismayil,Əfəndiyev Faiq İsmayıl,ef0b6b5b-c54f-458a-819e-f15fbcb82096,efeis0,efeis0,efeis0@vote.local,c5bd87fa-bb4b-41a6-ba2b-5f6562dd3e8f,skipped-existing
nesimi-campusu-student-1e3-elizade-vaqif-asiman,Əlizadə Vaqif Asiman,ef0b6b5b-c54f-458a-819e-f15fbcb82096,elias1,elias1,elias1@vote.local,27651c01-e258-4fdc-b2a6-85aed5ac4d4b,skipped-existing
nesimi-campusu-student-1e3-huseynzade-davud-senan,Hüseynzadə Davud Sənan,ef0b6b5b-c54f-458a-819e-f15fbcb82096,husse1,husse1,husse1@vote.local,deb59c28-62ee-4c1d-917b-c232863e3db0,skipped-existing
nesimi-campusu-student-1e3-omar-naser-ali,Omar Naser Alı,ef0b6b5b-c54f-458a-819e-f15fbcb82096,omaal0,omaal0,omaal0@vote.local,27bb8c55-2968-40eb-9e81-82d7ba634423,skipped-existing
nesimi-campusu-student-1e3-qedimbeyli-fateh-anar,Qədimbəyli Fateh Anar,ef0b6b5b-c54f-458a-819e-f15fbcb82096,qedan0,qedan0,qedan0@vote.local,3e1fea51-7cbc-4983-ab04-6e2a9d7ae8dd,skipped-existing
nesimi-campusu-student-1e3-rustemli-inci-rustem,Rüstəmli İnci Rüstəm,ef0b6b5b-c54f-458a-819e-f15fbcb82096,rusru0,rusru0,rusru0@vote.local,5a1b9b77-6ae9-4816-8601-80f2189ef82b,skipped-existing
nesimi-campusu-student-1e3-xelilzade-narin-celil,Xəlilzadə Narin Cəlil,ef0b6b5b-c54f-458a-819e-f15fbcb82096,xelce0,xelce0,xelce0@vote.local,ee5f0ed5-15eb-4d92-a3e1-059852f4d913,skipped-existing
nesimi-campusu-student-1e3-zeynalli-tunar-allahverdi,Zeynallı Tunar Allahverdi,ef0b6b5b-c54f-458a-819e-f15fbcb82096,zeyal0,zeyal0,zeyal0@vote.local,75e7a171-9a7b-489f-a954-616c2264ba77,skipped-existing
nesimi-campusu-student-1r1-abbasli-leman-arif,Abbaslı Ləman Arif,ef0b6b5b-c54f-458a-819e-f15fbcb82096,abbar0,abbar0,abbar0@vote.local,ae5b4155-7ed2-4181-81b1-c9ecebbffd14,skipped-existing
nesimi-campusu-student-1r1-abdullayev-amin-kamran,Abdullayev Amin Kamran,ef0b6b5b-c54f-458a-819e-f15fbcb82096,abdka0,abdka0,abdka0@vote.local,482a3c5f-c21e-402f-93be-3d83211c7397,skipped-existing
nesimi-campusu-student-1r1-bagirzade-emilia-emin,Bağırzadə Emilia Emin,ef0b6b5b-c54f-458a-819e-f15fbcb82096,bagem0,bagem0,bagem0@vote.local,ecb4f214-2002-4dd3-881f-2a5329f551b4,skipped-existing
nesimi-campusu-student-1r1-ceferov-eli-sahin,Cəfərov Əli Şahin,ef0b6b5b-c54f-458a-819e-f15fbcb82096,cefsa2,cefsa2,cefsa2@vote.local,a3bc0093-51de-484f-b1c2-6e741091fc69,skipped-existing
nesimi-campusu-student-1r1-efendiyeva-emine-ehed,Əfəndiyeva Əminə Əhəd,ef0b6b5b-c54f-458a-819e-f15fbcb82096,efeeh0,efeeh0,efeeh0@vote.local,7754bd83-7d8b-415b-90e0-f6d9cf250af1,skipped-existing
nesimi-campusu-student-1r1-hacili-cahan-orxan,Hacılı Cahan Orxan,ef0b6b5b-c54f-458a-819e-f15fbcb82096,hacor0,hacor0,hacor0@vote.local,7673b4eb-b0be-4e69-93c0-5ae6f157d857,skipped-existing
nesimi-campusu-student-1r1-hesenli-raul-hesen,Həsənli Raul Həsən,ef0b6b5b-c54f-458a-819e-f15fbcb82096,heshe0,heshe0,heshe0@vote.local,6561ce6d-585d-4a8e-a6b1-a085e71c2236,skipped-existing
nesimi-campusu-student-1r1-hesimli-ruzgar-rizvan,Həşimli Rüzgar Rizvan,ef0b6b5b-c54f-458a-819e-f15fbcb82096,hesri0,hesri0,hesri0@vote.local,7419b5dd-d3f5-442f-b8ff-fb8223abafe1,skipped-existing
nesimi-campusu-student-1r1-ibrahimli-ayxan-nizami,İbrahimli Ayxan Nizami,ef0b6b5b-c54f-458a-819e-f15fbcb82096,ibrni0,ibrni0,ibrni0@vote.local,f752fd3f-6ee1-4410-8757-35604b6941c0,skipped-existing
nesimi-campusu-student-1r1-mustafayev-tamerlan-huseyn,Mustafayev Tamerlan Hüseyn,ef0b6b5b-c54f-458a-819e-f15fbcb82096,mushu0,mushu0,mushu0@vote.local,e0b0e377-22a3-4552-b403-41115c7bd307,skipped-existing
